"","scientificName","family","decimalLongitude","decimalLatitude","date_year","datasetName","month","season","ecoregion"
"1","Alca torda","Alcidae",-67.1667,42,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"2","Larus marinus","Laridae",-68.0833,43.65,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"3","Larus marinus","Laridae",-67.6667,43.35,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"4","Larus marinus","Laridae",-67.9833,43.7667,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"5","Larus marinus","Laridae",-68.15,42.85,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"6","Larus argentatus","Laridae",-67.6167,43.55,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"7","Larus argentatus","Laridae",-67.7167,43.65,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"8","Stercorarius parasiticus","Stercorariidae",-67.3667,44.1667,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"9","Larus argentatus","Laridae",-67.5167,43.6667,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"10","Puffinus griseus","Procellariidae",-67.75,43.4167,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"11","Oceanodroma leucorhoa","Hydrobatidae",-68.15,42.85,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"12","Fulmarus glacialis","Procellariidae",-67.9167,42.5,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"13","Larus marinus","Laridae",-67.5,43.6667,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"14","Larus marinus","Laridae",-67.4167,42.3167,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"15","Puffinus griseus","Procellariidae",-67.65,44,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"16","Larus marinus","Laridae",-67.4167,42.4167,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"17","Larus marinus","Laridae",-67.4167,42.1833,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"18","Larus argentatus","Laridae",-67.6,43.6667,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"19","Larus argentatus","Laridae",-68.1,42.8667,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"20","Larus argentatus","Laridae",-67.4167,42.35,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"21","Larus argentatus","Laridae",-67.5167,42.1167,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"22","Morus bassanus","Sulidae",-67.4167,42.4,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"23","Larus marinus","Laridae",-68.1667,42.7833,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"24","Fulmarus glacialis","Procellariidae",-68.1667,42.8167,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"25","Larus argentatus","Laridae",-68.1167,42.8667,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
"26","Larus marinus","Laridae",-68,43.75,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"27","Larus argentatus","Laridae",-67.6,43.6667,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"28","Larus argentatus","Laridae",-67.6667,42.4167,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"29","Larus argentatus","Laridae",-68.0167,43.6,1969,"PIROP Northwest Atlantic 1965-1992",4,"Spring","Gulf of Maine/ Bay of Fundy"
"30","Larus marinus","Laridae",-67.7167,43.05,1969,"PIROP Northwest Atlantic 1965-1992",5,"Spring","Gulf of Maine/ Bay of Fundy"
